Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
Random Forest,0.9578193737600276,0.9296049256028732,0.9687733932199765,0.9487850858818601,0.9924026145409538,42.411070108413696
XGBoost,0.9554041231777797,0.9277852072832014,0.96449577585285,0.9457843959731543,0.9918761058547204,2.5873429775238037
Gradient Boosting,0.9432416113171742,0.9030801645429919,0.962570848037643,0.931877005901232,0.986947605023178,33.12300705909729
Neural Network,0.9431122228931251,0.9061488673139159,0.9581862902363384,0.931441343105151,0.9875327435029241,75.381502866745
Logistic Regression,0.7250064694212025,0.7937981433932451,0.42979360496203617,0.5576522825031219,0.7547600300329861,2.0940988063812256
